timestamp,ACC_0,GYRO_0,LIGHT,MAG_0,PRESS,ACC_1,GYRO_1,MAG_1,ACC_2,GYRO_2,MAG_2,label
4978298447762.182,0.2562810197547744,-1.350212390711766,27866.46444468037,11.926389785176708,1025.7847517201037,0.4387867397307749,-0.8701049348398109,-3.394909286968391,11.37682764667957,-0.1354713050611446,-33.77966670532425,7.0
4978329700110.667,1.6200205494672846,-0.9456006090120196,27983.690932090205,10.950673766090995,1025.8694268881202,-1.1376230358371522,-1.0871346971811222,-2.0244437604381638,11.908895008175945,0.1384301374284436,-34.79149904019725,7.0
4978363730435.071,3.102040037237149,-0.849233520524873,28031.18364684252,8.955829290265312,1025.6630619028856,0.2710353172239154,-1.10769556827343,-0.9024253617448909,12.319573106064077,0.165164346475396,-35.790346356001066,7.0
4978396342262.182,2.747510794885979,-0.1321366015696381,28022.96414602272,7.871696817001691,1025.0120434131334,0.6662004924439519,-0.7591465748934194,-0.4709701748522375,12.14631476755211,0.0481653448246425,-36.60332185409051,7.0
4978428968357.462,1.1911956779882855,0.6721454794831896,27995.625242978294,6.788378799604696,1024.2148360184665,0.5689326736564263,-0.5107909373731083,-0.4470089004104043,11.94580694591261,0.061409822886676,-36.692195376158914,7.0
4978464337165.154,-0.1607713570258865,1.0671052903746014,27947.977223362137,6.134005763561661,1023.4454551435696,-0.1848797325063272,-0.2973735785129578,-2.0366448386884315,11.945984413756342,0.4044512711917234,-36.82863424786325,7.0
4978497009909.909,-0.9794799434143996,0.9017822285781076,27888.09458674808,6.034875269653068,1022.605516067508,-0.4140809598859286,-0.2264118178425845,-3.800218140789162,10.770892738042969,0.81056503568065,-36.86642589191569,7.0
4978528287985.667,-1.3830760744649278,0.3812196843702343,27816.589740621308,5.04541361880776,1021.6310519345784,0.0302969940769127,-0.1996360176989629,-4.387334522519372,9.494970439916855,0.8890950465355637,-36.87356811613423,7.0
4978559546659.909,-0.6590869637788362,-0.3001370302377964,27732.39344025301,4.913003727059259,1020.6614966427684,-0.2362898289259253,-0.3332440360068541,-5.2224872908159,8.770051358942906,0.834116076675821,-36.69516059798296,7.0
4978592486876.692,-1.0456139782963856,-0.67437432718621,27631.223003651183,4.11619680131145,1019.7323209738976,-0.1322714117825147,-0.2364645418418096,-4.7443238342394505,8.802135087701899,0.5255152943081793,-37.592694990758105,7.0
4978627801777.333,-0.2154306767004379,-0.8482924740050372,27512.72306806713,3.778414636202513,1018.8324108374272,-0.3621628267322792,-0.1907605312738872,-4.233459486017293,8.415830886201203,0.5016861392240594,-37.8629860140691,7.0
4978658975387.182,0.0257590739254415,-0.8570767962206323,27392.317497334137,3.976019013164728,1018.0618420847248,-1.0175528236792806,0.0098224944357076,-3.2687759463833377,8.164978284926214,0.304563692669719,-38.12294635873774,7.0
4978692973247.571,-0.351669076007442,-0.6789079346677538,27249.52975283581,3.437248662298381,1017.148113907448,-0.9742697456178424,0.1462117619459845,-2.1403976936805176,8.01696153572633,0.1382963800301373,-38.23030331852869,7.0
4978728177808.583,1.1008250303131908,-0.7154022611637739,27089.464719848333,4.172110930586284,1016.3638400451528,-1.495482737072212,-0.0731592646076153,-0.6497255646217646,8.12547717370656,0.0652666246102045,-38.14537751345217,7.0
4978759592444.0,0.0762254453135095,-0.3303509499554447,26938.35049690589,4.534447830841511,1016.0381384684276,-1.9807129811041044,0.3575140180164343,-0.0119217478215819,8.839122311129069,-0.3681317653084482,-38.452537869396416,7.0
4978792241722.846,-2.1644650976697277,-0.2324762173368117,26771.756545776927,4.690764367590997,1015.5153891725296,-1.1409901703228942,0.3647654570539661,0.819087827411664,8.700909934107496,-0.4558222034247345,-38.01394612589118,7.0
4978826366621.083,-1.7518941982928833,-0.5978208934873633,26589.69449395787,5.282832726537216,1015.3307688517726,-1.4913535916837557,0.1207325230659881,1.5605085784313726,7.96374004195463,-0.61138942486377,-37.57358840345703,7.0
4978857498694.0,-1.4516215935535006,-1.129233545831104,26415.032164107663,5.780534132297797,1015.1168504158446,-0.6130814048105377,0.0898604123200368,2.5207173542521177,7.228970797297117,-0.745020885722417,-37.59021383890302,7.0
4978890354415.154,-0.7941218761113452,-1.2810442512794025,26226.0380532248,5.268080128666554,1014.785014537322,-0.8128435674030737,0.02220189517162,4.559056163457174,7.383537027445627,-0.7472453809505115,-37.1103618134513,7.0
4978925399059.385,-0.6282222428303113,-0.7688660521446588,26014.61525937735,5.503744568906607,1015.0188654301886,-1.802590632007916,0.3941318042568718,5.74690582317716,8.601795773452695,-0.5185482058948453,-36.88850766070455,7.0
4978958241489.454,-0.8420577896225658,-0.4238175359492141,25814.034401251687,6.620976229537462,1015.7411943222286,-2.2033533694420773,0.7403110887782604,7.056004038193529,9.112808702979006,-0.0715701680462515,-37.275487485779394,7.0
4978989562902.333,-0.5184742730276681,0.1086674536148107,25617.464246378207,7.941990993312719,1016.6552020434248,-2.140739928763421,0.7861616098434889,7.637662524069122,9.872521187011838,0.1876617104232989,-36.4889108847032,7.0
4979023465040.154,0.6649828359602732,0.4941948557904326,25399.846016364747,8.339922604659817,1017.7685441938128,-0.9721230138980772,0.5823729967456311,7.197163195920102,10.807940500861566,0.195149843369156,-35.81060223495037,7.0
4979056107239.454,0.5811247351051514,0.54110649498625,25187.844542257237,8.66291446174037,1018.6231315479778,-1.30641536231554,0.6847077818803028,6.254621545347319,10.591494988156796,-0.1624525299933843,-35.238841670083204,7.0
4979090093069.0,-0.6952755618247783,0.4823146124608647,24963.407033184478,10.138463359591096,1019.1645642282234,-1.5720693948702955,0.6873802730444255,5.677096416506195,9.684168726167671,-0.3266075135270315,-35.28294400564895,7.0
4979123622350.25,-1.172296341627337,0.207664839522598,24674.87604398465,10.38166341736177,1019.6711159754968,-1.9832581714771564,0.4018236649645829,5.268008121294467,9.045650682377415,-0.3604694882648445,-34.82781713512501,7.0
4979155435512.182,-1.3676709353697276,0.1256654920018157,24314.53056048005,11.52663284240804,1020.1340686878598,-2.4682574096972787,0.2358155425709441,5.321418645475986,8.806859181457106,-0.2047772052613235,-34.9105936970476,7.0
4979187753453.615,-1.571697826169988,0.1814313385134666,23857.80955018968,11.32686114919214,1020.6676626718368,-1.913784483449364,0.1248711292012689,5.253006373578007,8.760913399106595,-0.0511501221059683,-33.81433122501959,7.0
4979222091964.833,-1.3313344922225143,0.5163035936702212,23333.447665455213,11.385938166666667,1021.1830101346676,-2.390231229560209,0.1871405461322966,4.821103277439025,8.394639607381182,-0.1566757468748707,-34.312469659109446,7.0
4979254727277.333,-1.3743782468817831,1.7475447637538146,22817.085110233184,11.752728137891806,1021.9420065392196,-3.15451769943401,0.4850492529852758,3.760410907491388,9.14350443383843,-0.1819937523665148,-34.14839099347411,7.0
